base_date,code,name,type,entry,target,stop,path_result,hit_date,horizon_end_close,hold_ret_pct,apr_crash_dd_pct,thesis
2025-04-01,9433,KDDI,A,2351.5,2633.7,2210.4,WIN,2025-05-07,2456.0,4.44,-5.3,国内通信
2025-04-01,9434,ソフトバンク,A,210.5,235.8,197.9,LOSS,2025-04-07,224.5,6.65,-8.6,国内通信
2025-04-01,9432,NTT,B,144.5,161.8,132.9,WIN,2025-08-12,154.8,7.13,-6.4,内需高配当
2025-04-01,2914,JT,B,4158.0,4657.0,3825.4,LOSS,2025-04-07,4828.0,16.11,-9.5,ディフェンシブ
2025-04-01,8316,三井住友FG,B,3744.0,4193.3,3444.5,LOSS,2025-04-03,4047.0,8.09,-31.6,内需金融
2025-04-01,8306,三菱UFJ,B,1994.0,2233.3,1834.5,LOSS,2025-04-03,2318.0,16.25,-34.3,内需金融
2025-04-01,8411,みずほFG,B,4049.0,4534.9,3725.1,LOSS,2025-04-03,4797.0,18.47,-33.6,内需金融
2025-04-01,8766,東京海上,B,5799.0,6494.9,5335.1,LOSS,2025-04-04,6141.0,5.90,-24.9,優良損保
2025-04-01,8001,伊藤忠,B,1399.0,1566.9,1287.1,LOSS,2025-04-04,1670.8,19.43,-16.0,優良商社
2025-04-01,8058,三菱商事,B,2652.5,2970.8,2440.3,LOSS,2025-04-07,3465.0,30.63,-14.9,商社バリュー
2025-04-01,6501,日立,B,3438.0,3850.6,3163.0,LOSS,2025-04-04,3875.0,12.71,-24.7,優良電機
2025-04-01,2802,味の素,B,2963.0,3318.6,2726.0,LOSS,2025-04-07,4245.0,43.27,-11.0,内需食品
2025-04-01,9022,JR東海,B,2885.5,3231.8,2654.7,WIN,2025-05-02,4242.0,47.01,-5.9,内需インフラ
2025-04-01,7203,トヨタ,C,2630.5,2946.2,2499.0,LOSS,2025-04-03,2453.0,-6.75,-15.4,自動車関税一時仮説
2025-04-01,8035,東エレク,C,20250.0,22680.0,19237.5,LOSS,2025-04-03,27070.0,33.68,-18.2,半導体押し目
