base_date,check_date,code,name,entry,target_12pct,stop_6pct,dec1_close,ret_2m_pct,path_result,main_reason_at_entry,failure_note
2025-10-01,2025-12-01,9433,KDDI,2335.5,2615.8,2195.4,2650.0,13.47,WIN,権利落ち後の売られすぎ,
2025-10-01,2025-12-01,8316,三井住友FG,4047.0,4532.6,3804.2,4771.0,17.89,WIN,リバランス売り+利上げテーマ,
2025-10-01,2025-12-01,8306,三菱UFJ,2318.0,2596.2,2178.9,2463.0,6.26,FLAT_PERIOD,銀行バスケット,目標未達の分散負け
2025-10-01,2025-12-01,8411,みずほFG,4797.0,5372.6,4509.2,5501.0,14.68,WIN,リバランス売り+利上げテーマ,
2025-10-01,2025-12-01,9101,日本郵船,5005.0,5605.6,4704.7,4922.0,-1.66,FLAT_PERIOD,減益は一時+高配当自社株買い,サイクリカルの假性一時要因
2025-10-01,2025-12-01,8750,第一生命HD,1122.5,1257.2,1055.2,1202.5,7.13,LOSS,同業比割安+金利追い風,情報持出報道でストップ先行
2025-10-01,2025-12-01,7203,トヨタ,2821.5,3160.1,2652.2,3082.0,9.23,WIN,円高・関税ノイズの押し目,
2025-10-01,2025-12-01,9432,NTT,154.8,173.4,145.5,155.8,0.65,FLAT_PERIOD,ディフェンシブ高配当,デッドマネー
2025-10-01,2025-12-01,8766,東京海上HD,6141.0,6877.9,5772.5,5485.0,-10.68,LOSS,優良金融の市場連れ安,決算下方修正前に構造悪化
2025-10-01,2025-12-01,8001,伊藤忠,1670.8,1871.3,1570.6,1827.2,9.36,WIN,優良商社の市場押し目,
2025-10-01,2025-12-01,4503,アステラス,1609.5,1802.6,1512.9,1970.5,22.43,WIN,医薬品相対強さ+成長薬,
2025-10-01,2025-12-01,9984,ソフトバンクG,4560.0,5107.2,4286.4,4133.8,-9.35,WIN_THEN_COLLAPSE,放物線後の押し目,目標到達後に急落・保有継続は負け
2025-10-01,2025-12-01,2914,JT,4828.0,5407.4,4538.3,5865.0,21.48,WIN,リスクオフのディフェンシブ,
2025-10-01,2025-12-01,8058,三菱商事,3465.0,3880.8,3257.1,3666.0,5.80,FLAT_PERIOD,商社バリュー押し目,緩上昇で目標未達
2025-10-01,2025-12-01,8035,東京エレクトロン,25810.0,28907.2,24261.4,31630.0,22.55,WIN,高値圏巻き戻し後の半導体押し目,
